database_id,scale_factor,query_id,start,shuffled_mb,cpu_time,data_scanned
8,7,5,317973,7.471,1652,209.123
13,31,16,319952,249.782,4035,717.388
11,17,13,322667,308.132,22838,818.441
16,85,14,323543,145.575,2400,1091.255
13,31,17,323586,1.046,5254,10.77
8,7,14,324187,11.989,170,89.356
8,7,8,324224,2.201,2492,107.62
19,356,4,324592,0.001,434247,36691.398
3,1,17,325375,0.034,169,0.347
8,7,20,325399,5.657,293,18.97
8,7,19,325447,17.222,785,60.906
2,1,6,325658,0.0,9,3.919
8,7,16,325937,56.402,911,161.991
13,31,19,327276,76.268,3478,269.727
13,31,17,328107,1.046,5254,10.77
8,7,12,328990,0.0,260,29.842
5,3,18,329152,0.017,2872,701.272
8,7,11,329302,11.395,207,159.622
16,85,20,329392,69.442,11890,2247.486
8,7,10,330083,75.715,2106,308.554
8,7,8,331512,2.201,2492,107.62
15,59,22,332366,121.228,4467,1277.399
3,1,2,333361,0.135,87,0.507
5,3,16,334996,24.172,391,69.425
15,59,22,335104,121.228,4467,1277.399
8,7,5,335740,7.471,1652,209.123
3,1,6,336605,0.0,9,3.919
15,59,21,338024,3.392,39750,7714.847
8,7,22,338210,14.383,530,151.556
3,1,15,339685,5.889,43,13.678
13,31,20,340529,25.053,1298,84.011
9,10,19,341984,24.603,1122,87.009
3,1,12,343064,0.0,37,4.263
8,7,2,343425,0.948,608,3.55
3,1,7,343912,0.572,144,38.813
3,1,11,344402,1.628,30,22.803
8,7,21,346058,0.402,4716,915.321
3,1,6,347083,0.0,9,3.919
8,7,8,347447,2.201,2492,107.62
8,7,10,347711,75.715,2106,308.554
3,1,17,348433,0.034,169,0.347
8,7,10,349506,75.715,2106,308.554
8,7,5,349742,7.471,1652,209.123
8,7,7,350078,4.006,1004,271.691
15,59,2,350669,7.994,5124,29.924
8,7,19,351502,17.222,785,60.906
3,1,15,352150,5.889,43,13.678
3,1,15,355704,5.889,43,13.678
8,7,18,355706,0.039,6702,1636.302
13,31,11,356613,50.464,918,706.899
2,1,10,356820,10.816,301,44.079
3,1,5,357803,1.067,236,29.875
3,1,5,357918,1.067,236,29.875
5,3,16,358888,24.172,391,69.425
3,1,1,358908,0.0,796,304.647
3,1,13,360676,18.125,1343,48.144
3,1,22,360758,2.055,76,21.651
15,59,11,361040,96.045,1748,1345.388
3,1,11,361950,1.628,30,22.803
15,59,2,362058,7.994,5124,29.924
5,3,19,362702,7.381,337,26.103
5,3,4,364154,0.0,734,48.595
3,1,15,364380,5.889,43,13.678
5,3,22,364877,6.164,227,64.952
8,7,18,365458,0.039,6702,1636.302
13,31,11,365502,50.464,918,706.899
8,7,8,366014,2.201,2492,107.62
8,7,14,367116,11.989,170,89.356
3,1,7,367756,0.572,144,38.813
3,1,2,368509,0.135,87,0.507
5,3,19,369587,7.381,337,26.103
3,1,21,370364,0.057,674,130.76
2,1,11,370606,1.628,30,22.803
8,7,1,370610,0.0,5574,2132.529
3,1,19,371466,2.46,112,8.701
13,31,6,371886,0.0,284,121.504
8,7,2,371986,0.948,608,3.55
8,7,7,371997,4.006,1004,271.691
8,7,19,372767,17.222,785,60.906
8,7,5,374105,7.471,1652,209.123
3,1,13,375689,18.125,1343,48.144
8,7,17,376686,0.236,1186,2.432
5,3,6,379636,0.0,27,11.758
15,59,10,379830,638.166,17750,2600.666
5,3,15,380116,17.668,128,41.034
16,85,5,383183,81.726,25415,3573.429
8,7,16,383613,56.402,911,161.991
5,3,10,383901,32.449,903,132.237
8,7,2,385821,0.948,608,3.55
19,356,20,386420,499.0,98900,15789.0
13,31,10,387323,335.308,9326,1366.452
11,17,21,389615,0.977,11453,2222.922
13,31,1,390361,0.002,24684,9444.055
15,59,14,390607,101.051,1430,753.146
11,17,12,396263,0.0,632,72.473
8,7,22,397860,14.383,530,151.556
19,356,1,398038,0.003,321465,106453.553
8,7,13,400529,126.878,9404,337.005
3,1,22,400710,2.055,76,21.651
3,1,9,400836,1.194,507,45.703
3,1,21,401594,0.057,674,130.76
3,1,11,402779,1.628,30,22.803
16,85,5,403512,81.726,25415,3573.429
13,31,16,404348,249.782,4035,717.388
13,31,9,404509,37.027,15721,1416.785
3,1,14,404630,1.713,24,12.765
8,7,15,406585,41.224,298,95.747
3,1,13,407685,18.125,1343,48.144
15,59,9,408366,70.471,29920,2696.462
3,1,10,409439,10.816,301,44.079
8,7,17,410282,0.236,1186,2.432
8,7,13,410889,126.878,9404,337.005
5,3,18,411072,0.017,2872,701.272
8,7,10,412113,75.715,2106,308.554
15,59,22,412128,121.228,4467,1277.399
2,1,5,412181,1.067,236,29.875
15,59,11,413573,96.045,1748,1345.388
8,7,22,414484,14.383,530,151.556
13,31,20,415867,25.053,1298,84.011
8,7,21,416275,0.402,4716,915.321
15,59,2,417288,7.994,5124,29.924
13,31,20,418456,25.053,1298,84.011
15,59,15,420363,347.462,2513,807.007
8,7,3,427105,1.602,1590,914.741
15,59,6,429777,0.0,540,231.25
8,7,16,431277,56.402,911,161.991
8,7,19,431682,17.222,785,60.906
8,7,22,432089,14.383,530,151.556
13,31,10,432104,335.308,9326,1366.452
8,7,15,432436,41.224,298,95.747
11,17,8,432689,5.345,6051,261.363
5,3,14,433019,5.138,73,38.296
2,1,5,433043,1.067,236,29.875
8,7,13,433952,126.878,9404,337.005
8,7,17,434132,0.236,1186,2.432
8,7,19,434278,17.222,785,60.906
8,7,12,434348,0.0,260,29.842
8,7,1,434494,0.0,5574,2132.529
8,7,6,434526,0.0,64,27.436
3,1,21,434670,0.057,674,130.76
19,356,19,438843,875.681,130787,4303.118
8,7,7,438944,4.006,1004,271.691
8,7,4,439212,0.0,1712,113.389
8,7,21,439749,0.402,4716,915.321
16,85,4,439968,0.001,23167,1482.476
19,356,22,440424,869.893,109288,7637.105
8,7,14,440618,11.989,170,89.356
8,7,8,442536,2.201,2492,107.62
8,7,5,443799,7.471,1652,209.123
9,10,3,443850,2.288,2271,1306.773
5,3,2,444029,0.406,261,1.522
5,3,20,445281,2.424,126,8.13
3,1,1,445409,0.0,796,304.647
5,3,15,446683,17.668,128,41.034
5,3,10,447618,32.449,903,132.237
8,7,3,447880,1.602,1590,914.741
5,3,12,448965,0.0,112,12.789
8,7,12,449303,0.0,260,29.842
5,3,21,451422,0.172,2021,392.28
10,13,5,451984,13.875,3067,388.372
5,3,19,452676,7.381,337,26.103
3,1,5,452864,1.067,236,29.875
8,7,22,453769,14.383,530,151.556
19,356,16,454039,2833.03,91648,8219.644
8,7,5,454930,7.471,1652,209.123
8,7,19,455184,17.222,785,60.906
5,3,4,455885,0.0,734,48.595
8,7,7,456114,4.006,1004,271.691
13,31,16,457017,249.782,4035,717.388
8,7,21,457589,0.402,4716,915.321
8,7,3,457639,1.602,1590,914.741
13,31,3,458764,7.094,7041,4050.997
8,7,8,458819,2.201,2492,107.62
15,59,13,460787,1069.398,79260,2840.471
8,7,4,460997,0.0,1712,113.389
15,59,17,461064,1.991,10000,20.498
8,7,1,462585,0.0,5574,2132.529
8,7,14,463840,11.989,170,89.356
8,7,12,464031,0.0,260,29.842
8,7,22,464666,14.383,530,151.556
8,7,11,466981,11.395,207,159.622
8,7,14,467279,11.989,170,89.356
8,7,17,469006,0.236,1186,2.432
13,31,10,469101,335.308,9326,1366.452
8,7,6,469488,0.0,64,27.436
8,7,11,469625,11.395,207,159.622
5,3,14,469999,5.138,73,38.296
7,5,12,471060,0.0,186,21.316
8,7,15,471227,41.224,298,95.747
9,10,5,471236,10.673,2359,298.748
8,7,13,471438,126.878,9404,337.005
15,59,8,471820,18.552,21000,907.084
13,31,11,473447,50.464,918,706.899
8,7,5,474026,7.471,1652,209.123
16,85,21,475052,4.891,87707,18467.643
8,7,11,475830,11.395,207,159.622
5,3,11,475863,4.884,89,68.41
15,59,3,476684,13.502,13400,7709.962
3,1,19,479377,2.46,112,8.701
8,7,21,480650,0.402,4716,915.321
3,1,2,480862,0.135,87,0.507
8,7,18,482282,0.039,6702,1636.302
5,3,18,482715,0.017,2872,701.272
15,59,11,483282,96.045,1748,1345.388
8,7,19,483420,17.222,785,60.906
8,7,2,484387,0.948,608,3.55
8,7,22,484871,14.383,530,151.556
8,7,18,485653,0.039,6702,1636.302
5,3,20,487573,2.424,126,8.13
5,3,15,487590,17.668,128,41.034
3,1,18,490180,0.006,957,233.757
8,7,4,490297,0.0,1712,113.389
8,7,2,490905,0.948,608,3.55
8,7,12,491425,0.0,260,29.842
8,7,3,491869,1.602,1590,914.741
2,1,21,491955,0.057,674,130.76
19,356,10,492119,4020.453,232325,30190.71
5,3,20,492351,2.424,126,8.13
13,31,19,492584,76.268,3478,269.727
5,3,11,493435,4.884,89,68.41
8,7,21,493691,0.402,4716,915.321
8,7,6,494683,0.0,64,27.436
8,7,17,495060,0.236,1186,2.432
5,3,1,497836,0.0,2389,913.941
11,17,10,498018,183.878,5114,749.344
3,1,6,498897,0.0,9,3.919
3,1,8,499747,0.314,356,15.374
8,7,15,500184,41.224,298,95.747
8,7,5,503768,7.471,1652,209.123
8,7,18,503808,0.039,6702,1636.302
3,1,14,504444,1.713,24,12.765
8,7,17,504457,0.236,1186,2.432
2,1,5,506083,1.067,236,29.875
8,7,9,506216,8.361,3550,319.919
8,7,7,507664,4.006,1004,271.691
19,356,9,507691,424.759,467315,92989.342
5,3,9,507795,3.583,1521,137.108
3,1,2,508254,0.135,87,0.507
8,7,16,509066,56.402,911,161.991
3,1,17,509069,0.034,169,0.347
8,7,17,509345,0.236,1186,2.432
8,7,18,510792,0.039,6702,1636.302
13,31,8,510870,9.748,11034,476.603
8,7,19,511418,17.222,785,60.906
3,1,21,512028,0.057,674,130.76
8,7,11,512331,11.395,207,159.622
16,85,16,512542,682.043,16420,1962.735
8,7,3,512864,1.602,1590,914.741
13,31,9,514508,37.027,15721,1416.785
5,3,16,515516,24.172,391,69.425
8,7,7,515576,4.006,1004,271.691
8,7,4,517109,0.0,1712,113.389
5,3,20,518770,2.424,126,8.13
8,7,7,520053,4.006,1004,271.691
8,7,18,520645,0.039,6702,1636.302
8,7,10,520702,75.715,2106,308.554
8,7,16,521612,56.402,911,161.991
8,7,14,524969,11.989,170,89.356
8,7,17,527766,0.236,1186,2.432
8,7,4,528633,0.0,1712,113.389
8,7,8,528944,2.201,2492,107.62
5,3,9,529821,3.583,1521,137.108
8,7,11,531814,11.395,207,159.622
8,7,4,533899,0.0,1712,113.389
3,1,8,537223,0.314,356,15.374
8,7,18,538092,0.039,6702,1636.302
7,5,18,538220,0.028,4787,1168.787
11,17,13,538261,308.132,22838,818.441
8,7,15,538440,41.224,298,95.747
3,1,5,539000,1.067,236,29.875
3,1,17,541142,0.034,169,0.347
2,1,17,543456,0.034,169,0.347
8,7,6,544204,0.0,64,27.436
4,2,22,544626,4.109,151,43.302
8,7,16,545426,56.402,911,161.991
8,7,3,545426,1.602,1590,914.741
5,3,19,546360,7.381,337,26.103
3,1,6,546528,0.0,9,3.919
3,1,6,547127,0.0,9,3.919
16,85,20,547659,69.442,11890,2247.486
13,31,20,547953,25.053,1298,84.011
15,59,7,548184,33.768,8473,2289.97
4,2,13,548321,36.251,2687,96.287
8,7,8,548366,2.201,2492,107.62
4,2,16,551200,16.115,260,46.283
4,2,3,551277,0.458,454,261.355
7,5,13,551575,90.627,6717,240.718
4,2,9,553907,2.389,1014,91.405
8,7,5,554310,7.471,1652,209.123
4,2,17,554501,0.067,339,0.695
8,7,17,554682,0.236,1186,2.432
8,7,9,554737,8.361,3550,319.919
5,3,14,556036,5.138,73,38.296
19,356,6,558793,0.0,62000,1395.797
8,7,21,559823,0.402,4716,915.321
13,31,3,560780,7.094,7041,4050.997
8,7,12,561073,0.0,260,29.842
4,2,19,561391,4.921,224,17.402
11,17,4,561503,0.0,4159,275.374
4,2,11,562542,3.256,59,45.606
8,7,7,562576,4.006,1004,271.691
4,2,6,563344,0.0,18,7.839
15,59,18,564287,0.331,56487,13791.687
8,7,5,565253,7.471,1652,209.123
3,1,11,565362,1.628,30,22.803
4,2,22,567690,4.109,151,43.302
8,7,8,568208,2.201,2492,107.62
4,2,11,568552,3.256,59,45.606
8,7,14,568574,11.989,170,89.356
4,2,22,569323,4.109,151,43.302
4,2,19,569738,4.921,224,17.402
5,3,12,570028,0.0,112,12.789
4,2,9,570567,2.389,1014,91.405
3,1,10,572272,10.816,301,44.079
4,2,16,573181,16.115,260,46.283
3,1,7,573231,0.572,144,38.813
8,7,17,575311,0.236,1186,2.432
19,356,20,575876,499.0,98900,15789.0
8,7,13,576455,126.878,9404,337.005
4,2,9,576480,2.389,1014,91.405
8,7,21,576736,0.402,4716,915.321
4,2,12,576933,0.0,74,8.526
3,1,9,577009,1.194,507,45.703
8,7,15,578244,41.224,298,95.747
8,7,3,579063,1.602,1590,914.741
8,7,15,579153,41.224,298,95.747
2,1,14,579168,1.713,24,12.765
4,2,21,580190,0.115,1347,261.52
8,7,16,580206,56.402,911,161.991
13,31,18,581487,0.174,29680,7246.48
19,356,13,582277,6452.672,480890,17139.22
